edge,count,name,shape,edge_length,cycle_roads,main_roads,small_roads,school_distance
"(10766206552, 529430)",307,Rheinstraße,"{""type"":""LineString"",""coordinates"":[[8.2820514,49.9932557],[8.2820264,49.9932853],[8.2816465,49.99371],[8.2813671,49.993989],[8.2810363,49.9942984],[8.2807254,49.9945719],[8.2806787,49.994613],[8.2806291,49.9946578]]}",0.186,0,1,0,0.841
"(2450879868, 160521805)",307,Am Kronberger Hof,"{""type"":""LineString"",""coordinates"":[[8.2686514,50.0003901],[8.2685456,50.0004377],[8.2684351,50.0004779],[8.2678855,50.0006545],[8.2677632,50.0006938],[8.2677122,50.0006965],[8.2676632,50.0006931]]}",0.079,0,0,1,0.349
"(10992709341, 10992657294)",305,Gaustraße,"{""type"":""LineString"",""coordinates"":[[8.2678766,49.9976997],[8.2679179,49.9975704],[8.2680961,49.9972965],[8.2681432,49.9972158],[8.2681536,49.9971429],[8.26815,49.9970932],[8.2681189,49.9970107],[8.2680561,49.996926],[8.2679791,49.9968319],[8.2678967,49.9967201],[8.2678237,49.9966061],[8.2677643,49.9964874],[8.2677546,49.9964647]]}",0.147,0,0,0,0.107
"(165171151, 5424621857)",302,"['Stadionerhofstraße', 'Klarastraße']","{""type"":""LineString"",""coordinates"":[[8.2713161,50.0016831],[8.2712598,50.0016656],[8.2712384,50.001659],[8.2709412,50.001558],[8.2707524,50.0014988],[8.2706871,50.0014753],[8.2706548,50.0014588],[8.2706078,50.0014211],[8.2705112,50.0012956],[8.2704723,50.0013039],[8.2704442,50.0013116],[8.2704232,50.001318499999996],[8.2702449,50.0014143],[8.2701546,50.0014508],[8.2700653,50.0014869]]}",0.113,0,0,1,0.447
"(255374058, 357524356)",301,Kaiser-Wilhelm-Ring,"{""type"":""LineString"",""coordinates"":[[8.2574765,50.0035695],[8.2575118,50.003539],[8.257546,50.0035171],[8.2576102,50.0034743],[8.2576612,50.0034219],[8.2580882,50.0029495]]}",0.082,0,0,1,0.642
"(27633849, 27633846)",298,Rheinstraße,"{""type"":""LineString"",""coordinates"":[[8.2767382,49.9996352],[8.2763683,50.0002126]]}",0.069,0,1,0,0.57
"(255328293, 8893032576)",298,Wallstraße,"{""type"":""LineString"",""coordinates"":[[8.2563933,50.0011963],[8.2561173,50.0014942],[8.2558613,50.0017722],[8.2558384,50.0017952],[8.2557128,50.0019131],[8.2553695,50.0021724],[8.2551466,50.002323],[8.2550192,50.0023755],[8.254754,50.0024669],[8.2545914,50.0025085],[8.2543209,50.0025621],[8.2540984,50.0025939],[8.2540224,50.0026043],[8.2538779,50.0026358],[8.2536882,50.0027006],[8.2534504,50.0028186],[8.2533187,50.0029075]]}",0.303,0,1,0,0.336
"(530107, 529503)",298,Hechtsheimer Straße,"{""type"":""LineString"",""coordinates"":[[8.2791439,49.9895163],[8.2791747,49.9897467],[8.2791512,49.9898643],[8.2791061,49.9899832],[8.2789408,49.9901709],[8.2788073,49.9902935],[8.2786808,49.9904098],[8.2785825,49.9905172]]}",0.123,0,1,0,0.991
"(160522741, 256310268)",298,Große Langgasse,"{""type"":""LineString"",""coordinates"":[[8.267833,49.9993626],[8.2673305,49.9996486]]}",0.048,0,1,0,0.262
"(27077355, 27077171)",298,Hintere Bleiche,"{""type"":""LineString"",""coordinates"":[[8.2637828,50.0020442],[8.2637447,50.0020049],[8.2631677,50.0014093],[8.2631461,50.001387]]}",0.086,0,0,1,0.649
"(3771859618, 529583)",293,Kupferbergterrasse,"{""type"":""LineString"",""coordinates"":[[8.2625984,49.9978649],[8.2624158,49.9980106],[8.2623481,49.998089],[8.2622426,49.998256],[8.2621338,49.9983036]]}",0.06,0,0,1,0.507
"(9702219606, 10992709306)",293,Kaiser-Wilhelm-Ring,"{""type"":""LineString"",""coordinates"":[[8.2568922,50.0045786],[8.2564333,50.0050952]]}",0.066,0,0,1,0.63
"(160502620, 151356155)",292,Alte Universitätsstraße,"{""type"":""LineString"",""coordinates"":[[8.2717562,49.9999274],[8.2717631,49.9999814],[8.2718762,50.0002314],[8.2719613,50.0003917],[8.2719685,50.0004582],[8.2719637,50.0005063],[8.2719456,50.0005668]]}",0.073,0,0,0,0.328
"(2324605537, 1687914109)",291,Fritz-Kohl-Straße,"{""type"":""LineString"",""coordinates"":[[8.2526031,50.0037486],[8.2525589,50.0037424],[8.2524736,50.003738],[8.2523883,50.0037375],[8.2522948,50.0037459],[8.2522075,50.0037563],[8.2519779,50.0037948],[8.2514856,50.0038808],[8.2508954,50.0039839],[8.2505553,50.0040504],[8.2504087,50.0040835],[8.2502668,50.0041278],[8.2491458,50.004562],[8.2491085,50.0045727],[8.2490804,50.0045807],[8.2490123,50.0045934]]}",0.277,0,0,1,0.222
"(1413508311, 10992709355)",291,Parcusstraße,"{""type"":""LineString"",""coordinates"":[[8.2608271,50.0003463],[8.2609412,50.0005147],[8.2612743,50.0011178],[8.261302,50.0011679],[8.2613342,50.0012223],[8.2613499,50.0012487],[8.2613531,50.0012564],[8.2613664,50.0012775]]}",0.111,0,1,0,0.715
"(11184111844, 1666356336)",290,Flachsmarktstraße,"{""type"":""LineString"",""coordinates"":[[8.2696207,50.0035182],[8.2701475,50.0029772]]}",0.071,0,1,0,0.511
"(10584869747, 30896944)",288,Mombacher Straße,"{""type"":""LineString"",""coordinates"":[[8.256178,50.0030698],[8.256023,50.0031578],[8.2552894,50.003553],[8.2550519,50.0036601],[8.2548084,50.0037717],[8.2545319,50.0038844]]}",0.149,0,1,0,0.45
"(30696492, 30696491)",287,Hindenburgstraße,"{""type"":""LineString"",""coordinates"":[[8.2609396,50.0076557],[8.2613616,50.0074607],[8.2617903,50.0072626],[8.2620103,50.007161],[8.262083,50.0071274]]}",0.101,0,0,1,0.548
"(873536656, 10577183825)",286,Quintinsstraße,"{""type"":""LineString"",""coordinates"":[[8.2746268,50.0010712],[8.2748109,50.0011076],[8.2750167,50.0011554],[8.2750727,50.0011739],[8.2753681,50.0012632],[8.2754106,50.0012763],[8.2756224,50.0013432]]}",0.077,0,1,0,0.55
"(32432182, 32432185)",285,Wallstraße,"{""type"":""LineString"",""coordinates"":[[8.2515842,50.0028906],[8.2515053,50.0029104],[8.2514411,50.0029265],[8.2512926,50.0029865],[8.2509617,50.0032148],[8.2507578,50.003351]]}",0.079,0,1,0,0.182
"(27077171, 10992709326)",284,Hintere Bleiche,"{""type"":""LineString"",""coordinates"":[[8.2631461,50.001387],[8.2631169,50.0013552],[8.2626386,50.000835],[8.2626244,50.0008196],[8.2625792,50.0007752],[8.2625632,50.0007596]]}",0.081,0,0,1,0.635
"(530087, 697194412)",284,Umbach,"{""type"":""LineString"",""coordinates"":[[8.2657042,50.000589],[8.2656068,50.0006329],[8.2655268,50.0006643],[8.2649637,50.000846],[8.2649013,50.0008624]]}",0.065,0,1,0,0.46
"(11761725773, 255380090)",282,Kaiser-Wilhelm-Ring,"{""type"":""LineString"",""coordinates"":[[8.2589678,50.0022061],[8.2589715,50.0022257],[8.2589587,50.0022505],[8.2589394,50.0022752],[8.2586207,50.0026304]]}",0.054,0,0,1,0.711
"(10992709344, 10992709342)",278,Schillerplatz,"{""type"":""LineString"",""coordinates"":[[8.2674349,49.9982515],[8.2674982,49.9981817],[8.2677921,49.9978528]]}",0.051,0,0,1,0.145
"(1833312537, 1975261001)",278,Am Fort Gonsenheim,"{""type"":""LineString"",""coordinates"":[[8.2477469,50.0039502],[8.2478695,50.0040377],[8.2481016,50.0041978],[8.248232,50.0042878]]}",0.051,0,1,0,0.174
"(698097140, 530107)",276,Hechtsheimer Straße,"{""type"":""LineString"",""coordinates"":[[8.2791717,49.988113],[8.2791666,49.988163],[8.27916,49.988227],[8.27915,49.9883241],[8.2791344,49.9884757],[8.2791172,49.9886434],[8.2790925,49.9890634],[8.2791439,49.9895163]]}",0.156,0,1,0,1.103
"(10584839698, 2272673094)",275,Mombacher Straße,"{""type"":""LineString"",""coordinates"":[[8.24927,50.0067067],[8.2494145,50.006642],[8.2494472,50.0066274],[8.2494682,50.0066179],[8.2497124,50.0065043],[8.2499551,50.0063786]]}",0.061,0,1,0,0.259
"(4597631129, 6944960196)",274,Untere Zahlbacher Straße,"{""type"":""LineString"",""coordinates"":[[8.2519156,49.9931164],[8.2523529,49.9946949]]}",0.178,0,1,0,0.866
"(243316853, 698096775)",272,Hechtsheimer Straße,"{""type"":""LineString"",""coordinates"":[[8.279314,49.9869858],[8.2792564,49.9873948],[8.2792217,49.9876847],[8.2791903,49.9879472]]}",0.107,0,1,0,1.247
"(255380076, 1413508590)",269,Boppstraße,"{""type"":""LineString"",""coordinates"":[[8.2614411,50.0038297],[8.2619514,50.0036271],[8.2620206,50.0035992]]}",0.049,0,1,0,0.743
"(1783958332, 27640275)",269,Bauhofstraße,"{""type"":""LineString"",""coordinates"":[[8.2653082,50.0056498],[8.2653344,50.005639],[8.265353,50.0056316],[8.2654097,50.0056099],[8.2660567,50.0053415],[8.2661043,50.0053219]]}",0.068,0,1,0,0.402
"(208528673, 1975206387)",268,Fritz-Kohl-Straße,"{""type"":""LineString"",""coordinates"":[[8.2530612,50.0038167],[8.2532819,50.0038556],[8.2533484,50.0038581],[8.2534093,50.0038558],[8.2535042,50.0038428],[8.2541847,50.00373]]}",0.083,0,0,1,0.35
"(1425682002, 1836544831)",267,,"{""type"":""LineString"",""coordinates"":[[8.2538287,49.996228],[8.2539416,49.9962311],[8.2545455,49.9966004],[8.2545791,49.9966149],[8.2546177,49.9966235],[8.2546548,49.9966418],[8.2555938,49.9971919],[8.255642,49.9972314],[8.2558633,49.9973611],[8.2558973,49.9973841],[8.2560685,49.9974766]]}",0.214,1,0,0,0.746
"(30692019, 30651574)",267,Josefsstraße,"{""type"":""LineString"",""coordinates"":[[8.2567374,50.005746],[8.2567959,50.0058029],[8.2570226,50.0060424],[8.2575034,50.0065388],[8.2575422,50.0065834]]}",0.109,0,0,1,0.686
"(34470066, 34470113)",267,Karl-Weiser-Straße,"{""type"":""LineString"",""coordinates"":[[8.2879073,49.9884892],[8.2881046,49.9885858],[8.2888727,49.9889603],[8.2890105,49.9890469],[8.2891905,49.9891767],[8.2893636,49.9893143],[8.289818,49.9897683]]}",0.199,0,0,1,1.184
"(566717121, 1192750581)",266,Alicenstraße,"{""type"":""LineString"",""coordinates"":[[8.2606947,50.0004728],[8.2606409,50.0004728],[8.2606094,50.0004777],[8.260585,50.0004871],[8.2605323,50.0005183],[8.2604918,50.0005496],[8.2601966,50.0008837],[8.2600911,50.0010034],[8.2600519,50.00103]]}",0.08,0,0,1,0.73
"(298458889, 700946405)",265,Windmühlenstraße,"{""type"":""LineString"",""coordinates"":[[8.2746619,49.9951154],[8.2747432,49.9950762],[8.2748082,49.9950295],[8.2748732,49.9949724],[8.2750655,49.9947905],[8.2751706,49.9946909],[8.27529,49.9946228],[8.2754385,49.9945796],[8.2755552,49.9945738],[8.2756688,49.9945806],[8.2757969,49.9946124],[8.2762116,49.994749]]}",0.143,0,1,0,0.435
"(9718908473, 9719788263)",265,Holzhofstraße,"{""type"":""LineString"",""coordinates"":[[8.2749222,49.9955181],[8.2750184,49.995527],[8.2751541,49.9955291],[8.2752432,49.9955258],[8.2753176,49.9955182],[8.2754523,49.9954979],[8.2755617,49.9954591],[8.275667,49.9954055],[8.2758624,49.9952537],[8.2760344,49.9950988]]}",0.1,0,1,0,0.428
"(27296103, 1290777233)",264,Bauhofstraße,"{""type"":""LineString"",""coordinates"":[[8.2674971,50.0047508],[8.2674155,50.0047875],[8.2673287,50.0048234],[8.2667915,50.0050384],[8.2667142,50.0050695]]}",0.066,0,1,0,0.399
"(1717979491, 27077171)",264,Gärtnergasse,"{""type"":""LineString"",""coordinates"":[[8.2618329,50.0018237],[8.2618781,50.0018087],[8.2630026,50.0014343],[8.2631461,50.001387]]}",0.106,0,1,0,0.649
"(30692022, 30692023)",264,Boppstraße,"{""type"":""LineString"",""coordinates"":[[8.2588429,50.0048829],[8.2596951,50.0045414]]}",0.072,0,1,0,0.777
"(27362816, 323935910)",263,Mombacher Straße,"{""type"":""LineString"",""coordinates"":[[8.2582171,50.0003485],[8.2583759,49.9996792],[8.2584154,49.9994884],[8.2584534,49.9993013],[8.2584931,49.9991306],[8.258546,49.9989095],[8.258587,49.9987695],[8.2586305,49.9986522],[8.2586763,49.9985469],[8.2587359,49.9984172],[8.2587473,49.9983427],[8.2587393,49.998299],[8.258715,49.9982537],[8.2586771,49.9982108],[8.2585861,49.9981477],[8.2584802,49.9981033]]}",0.261,0,1,0,0.712
"(530102, 243318909)",263,Hechtsheimer Straße,"{""type"":""LineString"",""coordinates"":[[8.2794019,49.9863623],[8.2795404,49.9853789]]}",0.11,0,1,0,1.405
"(530102, 243318909)",263,Hechtsheimer Straße,"{""type"":""LineString"",""coordinates"":[[8.2794019,49.9863623],[8.2795404,49.9853789]]}",0.11,0,1,0,1.405
"(309335249, 1425682002)",262,Untere Zahlbacher Straße,"{""type"":""LineString"",""coordinates"":[[8.2529491,49.9957145],[8.2538287,49.996228]]}",0.085,0,1,0,0.759
"(698115312, 698459904)",262,Alte Mainzer Straße,"{""type"":""LineString"",""coordinates"":[[8.2813592,49.9734131],[8.2817527,49.9734339],[8.2824536,49.9734577]]}",0.078,0,0,0,1.059
"(30896941, 3905348265)",262,Mombacher Straße,"{""type"":""LineString"",""coordinates"":[[8.2491939,50.0067408],[8.2490768,50.0067907],[8.2489519,50.0068347],[8.248683,50.0069403],[8.2485355,50.0070022],[8.2483201,50.0071169]]}",0.075,0,1,0,0.226
"(32432185, 9362808190)",261,Wallstraße,"{""type"":""LineString"",""coordinates"":[[8.2507578,50.003351],[8.2505673,50.0034729],[8.2503891,50.0035677],[8.2499854,50.003746],[8.2499537,50.0037628]]}",0.074,0,1,0,0.175
"(1413508518, 27612102)",261,Kaiserstraße,"{""type"":""LineString"",""coordinates"":[[8.2620956,50.0033244],[8.261889,50.0031922],[8.2616496,50.0029826],[8.2614714,50.0028266]]}",0.071,0,1,0,0.76
"(2144575857, 7035005277)",260,Mombacher Straße,"{""type"":""LineString"",""coordinates"":[[8.2555496,50.003251],[8.2556495,50.0031925],[8.2560586,50.0029537]]}",0.049,0,1,0,0.5
